,district,1.5.1. Población en etapas educativas (01/01/2018),0 a 2 años,Infantil (3 a 5 años),Primaria (6 a 11 años),Secundaria (12 a 15 años),Etapas educativas. Total niños,Etapas educativas. Total niñas,1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18),En centros PRIVADOS CONCERTADOS,En centros PRIVADOS SIN CONCIERTO,En centros PÚBLICOS,Total alumnos extranjeros,Total alumnos con necesidades de apoyo educativo,No sabe leer ni escribir o sin estudios,Primaria incompleta,"Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado","Formación profesional 2º grado, Bachiller Superior o BUP","Titulados medios, diplomados, arquitecto o ingeniero técnico","Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados",Nivel de estudios desconocido y no consta,Casos trabajados por el programa de absentismo municipal (curso escolar 2018-2019),Casos trabajados HOMBRES,Casos trabajados MUJERES,1.5.4. Programa de prevención y control del absentismo escolar
0,CENTRO,11171.0,1226.0,1045.0,2001.0,1237.0,5662.0,5509.0,15894.0,422.0,14.0,227.0,2561.0,663.0,3458.0,8982.0,21654.0,21229.0,11215.0,48567.0,93.0,92.0,45.0,47.0,
1,ARGANZUELA,19400.0,1926.0,1799.0,3568.0,2279.0,9828.0,9572.0,17780.0,237.0,15.0,264.0,1352.0,516.0,3135.0,10120.0,24471.0,24002.0,15086.0,46042.0,157.0,64.0,30.0,34.0,
2,RETIRO,14979.0,1403.0,1464.0,2763.0,1786.0,7563.0,7416.0,16952.0,123.0,6.0,158.0,857.0,287.0,1843.0,5922.0,15126.0,18517.0,11831.0,42411.0,134.0,25.0,12.0,13.0,
3,SALAMANCA,16586.0,1711.0,1580.0,2956.0,1958.0,8381.0,8205.0,19530.0,365.0,8.0,83.0,1209.0,456.0,1889.0,6040.0,16947.0,21753.0,12678.0,58513.0,168.0,25.0,14.0,11.0,
4,CHAMARTÍN,20152.0,1969.0,1987.0,3717.0,2283.0,10196.0,9956.0,15894.0,422.0,14.0,227.0,2561.0,663.0,1681.0,5340.0,15869.0,20908.0,12760.0,57689.0,324.0,26.0,15.0,11.0,
5,TETUÁN,18510.0,1989.0,1763.0,3182.0,2093.0,9483.0,9027.0,12731.0,606.0,4.0,248.0,2501.0,858.0,4883.0,13461.0,33602.0,22985.0,11711.0,39769.0,205.0,226.0,104.0,122.0,
6,CHAMBERÍ,15158.0,1582.0,1386.0,2772.0,1737.0,7681.0,7477.0,21354.0,336.0,15.0,256.0,2212.0,607.0,1879.0,6199.0,17117.0,19185.0,11858.0,57383.0,173.0,30.0,12.0,18.0,
7,FUENCARRAL-EL PARDO,44201.0,3898.0,4418.0,8536.0,4621.0,22728.0,21473.0,47752.0,984.0,276.0,693.0,2679.0,1953.0,6518.0,16266.0,38025.0,33993.0,21250.0,66690.0,133.0,165.0,83.0,82.0,
8,MONCLOA-ARAVACA,17338.0,1431.0,1532.0,3211.0,2241.0,8923.0,8415.0,28966.0,370.0,219.0,184.0,1710.0,773.0,2229.0,6759.0,15641.0,16000.0,9824.0,39939.0,185.0,53.0,29.0,24.0,
9,LATINA,29625.0,2561.0,2561.0,5589.0,3764.0,15150.0,14475.0,35674.0,750.0,40.0,732.0,4922.0,1522.0,11657.0,30804.0,60856.0,38508.0,15940.0,30645.0,288.0,322.0,163.0,159.0,
10,CARABANCHEL,37359.0,3129.0,3231.0,7236.0,4649.0,19114.0,18245.0,35260.0,584.0,3.0,941.0,5507.0,1528.0,12098.0,30685.0,69283.0,37971.0,15207.0,27387.0,302.0,569.0,292.0,277.0,
11,USERA,21801.0,1753.0,1886.0,4188.0,2797.0,11177.0,10624.0,22284.0,857.0,5.0,772.0,3828.0,1634.0,8651.0,19657.0,41132.0,17419.0,6299.0,10711.0,65.0,357.0,190.0,167.0,
12,PUENTE DE VALLECAS,32716.0,2966.0,2977.0,5850.0,4064.0,16859.0,15857.0,36331.0,1019.0,6.0,1045.0,5895.0,2070.0,18499.0,33253.0,68684.0,31126.0,9536.0,17636.0,209.0,562.0,301.0,261.0,178943.0
13,MORATALAZ,11235.0,915.0,995.0,2026.0,1621.0,5678.0,5557.0,14633.0,220.0,15.0,476.0,1051.0,711.0,4491.0,10323.0,20880.0,16014.0,7317.0,15471.0,98.0,152.0,71.0,81.0,74594.0
14,CIUDAD LINEAL,27591.0,2301.0,2432.0,5083.0,3657.0,14118.0,13473.0,32646.0,941.0,64.0,373.0,3574.0,1378.0,7316.0,20158.0,46454.0,34522.0,16888.0,44476.0,305.0,132.0,71.0,61.0,
15,HORTALEZA,33480.0,2982.0,3208.0,6317.0,3814.0,17159.0,16321.0,37034.0,459.0,102.0,439.0,3376.0,1000.0,5385.0,13457.0,30311.0,27854.0,15768.0,46259.0,113.0,113.0,63.0,50.0,139147.0
16,VILLAVERDE,24700.0,2117.0,2082.0,4781.0,3022.0,12698.0,12002.0,23526.0,316.0,1.0,517.0,3753.0,834.0,10030.0,19169.0,42824.0,20545.0,6578.0,10592.0,127.0,391.0,204.0,187.0,109865.0
17,VILLA DE VALLECAS,21315.0,2159.0,2208.0,3911.0,1921.0,11116.0,10199.0,17693.0,198.0,3.0,671.0,1703.0,872.0,5325.0,9423.0,26494.0,16908.0,8107.0,14021.0,25.0,437.0,220.0,217.0,
18,VICÁLVARO,13476.0,837.0,1028.0,2844.0,1919.0,6848.0,6628.0,12131.0,139.0,0.0,451.0,1240.0,590.0,3752.0,7064.0,16922.0,10530.0,4741.0,8508.0,5.0,72.0,38.0,34.0,
19,SAN BLAS-CANILLEJAS,24569.0,1828.0,1941.0,4683.0,3602.0,12515.0,12054.0,25315.0,473.0,15.0,870.0,2407.0,1358.0,7089.0,16041.0,36653.0,24074.0,10908.0,23699.0,122.0,175.0,81.0,94.0,
20,BARAJAS,8976.0,748.0,807.0,1656.0,1085.0,4680.0,4296.0,9317.0,131.0,2.0,74.0,651.0,207.0,1217.0,2623.0,7608.0,8219.0,4800.0,11460.0,22.0,37.0,22.0,15.0,35949.0
